2022-09-02 14:35:12 9410 | Message | Login  127.0.0.1  20001
2022-09-02 14:35:12 9693 | Message | Login服务器开始监听127.0.0.1:20001
2022-09-02 14:35:13 1002 | Message | 初始化Realm
2022-09-02 14:35:13 1012 | Message | Realm  127.0.0.1  20002
2022-09-02 14:35:13 1030 | Message | Realm服务器开始监听127.0.0.1:20002
2022-09-02 14:35:13 1032 | Message | 初始化Gate
2022-09-02 14:35:13 1040 | Message | Gate  127.0.0.1  20003
2022-09-02 14:35:13 1059 | Message | Gate服务器开始监听127.0.0.1:20003
2022-09-02 14:35:13 1061 | Message | 初始化World
2022-09-02 14:35:13 1070 | Message | World  127.0.0.1  20004
2022-09-02 14:35:13 1092 | Message | World服务器开始监听127.0.0.1:20004
2022-09-02 14:35:23 0833 | Message |  正在连接
2022-09-02 14:35:23 0838 | Message | 6711675304556400640 连接成功
2022-09-02 14:35:23 1182 | Message | ServTcpRecv: [Login] [C2S_Login:[Account:"baoyu";Password:"";RpcId:"1"]]
2022-09-02 14:36:24 0041 | Message | 6711675304556400640 断开连接
2022-09-02 14:41:45 9380 | Message |  正在连接
2022-09-02 14:41:45 9383 | Message | 6711675310829096960 连接成功
2022-09-02 14:41:45 9621 | Message | ServTcpRecv: [Login] [C2S_Login:[Account:"baoyu";Password:"";RpcId:"1"]]
2022-09-02 14:42:46 2146 | Message | 6711675310829096960 断开连接
2022-09-02 14:48:49 5651 | Message |  正在连接
2022-09-02 14:48:49 5867 | Message | 6711675317769801728 连接成功
2022-09-02 14:48:49 6119 | Message | ServTcpRecv: [Login] [C2S_Login:[Account:"baoyu";Password:"";RpcId:"1"]]
2022-09-02 14:49:35 7064 | Message | 6711675317769801728 断开连接
